Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
56724,I am a developer by profession,Yes,23.0,18,Monthly,90000.0,7008.0,Pakistan,Pakistani rupee,PKR,Elasticsearch;MongoDB,Microsoft SQL Server;MySQL;SQLite,Data scientist or machine learning specialist,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Financial performance or funding status of the company or organization",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Go;JavaScript,Bash/Shell/PowerShell;C++;Python;SQL,Apache Spark;Hadoop;Keras;TensorFlow;Torch/PyTorch,Hadoop;Keras;Pandas;TensorFlow;Torch/PyTorch,,Jira;Github;Gitlab;Slack;Microsoft Teams,Yes,Extremely important,Fairly important,Curious about other opportunities;Better compensation;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,Yes,No,Yes,Often: 1-2 days per week or more,,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Watch help / tutorial videos;Visit another developer community (please name):,Linux-based,20 to 99 employees,Arduino;AWS;Kubernetes;Microsoft Azure,Docker;Linux;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Multiple times per day,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",Angular;Django;Laravel,Flask,Just as welcome now as I felt last year,48.0,6,2
56746,I am a developer by profession,Yes,27.0,20,Monthly,60000.0,4668.0,Pakistan,Pakistani rupee,PKR,,Microsoft SQL Server;MySQL;SQLite,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, QA or test","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,Slightly satisfied,I am actively looking for a job,,C#;C++;HTML/CSS;JavaScript;PHP;SQL,,.NET;.NET Core,,Github;Microsoft Teams,No,Extremely important,Fairly important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Yes,Yes,No,Rarely: 1-2 days per year or less,Start a free trial;Ask developers I know/work with,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,20 to 99 employees,,Docker;Linux;Windows;WordPress,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Daily or almost daily,Easy,Too long,No,"Computer science, computer engineering, or software engineering",,Angular;Angular.js;ASP.NET;jQuery,Just as welcome now as I felt last year,40.0,6,2
56821,I code primarily as a hobby,Yes,21.0,18,,,,Pakistan,,,Firebase;SQLite,Firebase;SQLite,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,South Asian,Man,,,,Dart;Go;Java;JavaScript;Kotlin;PHP;Python;Rust,Assembly;C;C++;Java;Python;Rust,Flutter;Keras;Pandas;TensorFlow,Flutter;Pandas,"Github;Microsoft Teams;Microsoft Azure;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Github,,,,,,Every few months,,,Yes,,Start a free trial,"Hello, old friend",Stack Exchange (public Q&A for a variety of topics),Meditate;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,,Android;Arduino;Linux;Raspberry Pi;Windows,Android;Arduino;Linux;Raspberry Pi;Windows,,Straight / Heterosexual,,,,,Easy,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",Django;Flask;jQuery;React.js;Ruby on Rails,,,,3,
56846,I am a student who is learning to code,Yes,19.0,16,,,,Pakistan,,,MongoDB,Microsoft SQL Server,,Some college/university study without earning a degree,Student,South Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on",,"I’m not actively looking, but I am open to new opportunities",Python;R;Rust;SQL;Swift;TypeScript,C;C#;C++;HTML/CSS;JavaScript,Node.js;React Native,.NET,Github;Microsoft Teams;Stack Overflow for Teams,Github,,,,,,Every few months,Not sure,,No,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Indifferent,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Windows,,AWS;Docker;iOS;Microsoft Azure,Windows;WordPress,,,Yes,Neutral,Less than once per month or monthly,A few times per week,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;Express;Flask;Vue.js,jQuery;React.js,Somewhat more welcome now than last year,,5,
57000,I am a developer by profession,No,30.0,18,Monthly,,,Pakistan,Pakistani rupee,PKR,Cassandra;DynamoDB;Elasticsearch;MongoDB;PostgreSQL;Redis,Firebase;MySQL;Oracle;SQLite,"Developer, full-stack;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",South Asian,Man,"Diversity of the company or organization;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",Very satisfied,"I’m not actively looking, but I am open to new opportunities",Dart;R;Ruby;SQL;TypeScript,Assembly;C#;C++;HTML/CSS;Java;JavaScript;Objective-C;PHP;Swift,Flutter;React Native,.NET,Gitlab;Microsoft Teams;Microsoft Azure;Trello;Stack Overflow for Teams,"Confluence;Jira;Github;Trello;Google Suite (Docs, Meet, etc)",No,Somewhat important,Critically important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family",Once a year,No,Yes,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,MacOS,2 to 9 employees,AWS;Docker;Microsoft Azure;Slack Apps and Integrations,Android;Heroku;iOS;Linux;MacOS;Windows,,Straight / Heterosexual,Yes,"Yes, definitely",A few times per month or weekly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;Django;React.js;Ruby on Rails;Vue.js,jQuery,A lot more welcome now than last year,40.0,12,7
57077,I am a developer by profession,No,21.0,15,Monthly,35000.0,2724.0,Pakistan,Pakistani rupee,PKR,MySQL,MySQL,"Developer, back-end;Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",Very satisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL,,,Github,Github,Yes,Extremely important,Fairly important,Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Publicly available financial information (e.g. Crunchbase)",Once a year,Yes,Yes,Yes,Rarely: 1-2 days per year or less,,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos,Windows,500 to 999 employees,WordPress,WordPress,I have little or no influence,Straight / Heterosexual,Yes,Not sure,I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Too long,No,"Computer science, computer engineering, or software engineering",jQuery;Laravel,jQuery;Laravel,Just as welcome now as I felt last year,45.0,7,Less than 1 year
57165,I am a student who is learning to code,No,19.0,16,,,,Pakistan,,,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL,"Developer, desktop or enterprise applications;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",South Asian,Woman,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",,I am actively looking for a job,C;C#;C++;HTML/CSS;JavaScript,C;C#;C++;HTML/CSS;JavaScript,.NET Core;Xamarin,.NET Core;Xamarin,,Facebook Workplace,,,,,,Every few months,Yes,,No,,Start a free trial,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow,Windows,,Android;Windows;WordPress,Android;Windows;WordPress,,,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET,ASP.NET,Not applicable - I did not use Stack Overflow last year,,3,
57182,I am a student who is learning to code,Yes,24.0,20,,,,Pakistan,,,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,Firebase,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",,I am actively looking for a job,HTML/CSS;JavaScript,HTML/CSS;Java;SQL,Flutter;Node.js;React Native;TensorFlow,React Native,Github,Github,,,,,,Every few months,Not sure,,Yes,,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Linux-based,,Linux,Android,,,Yes,"Yes, somewhat",I have never participated in Q&A on Stack Overflow,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Django;React.js,,A lot more welcome now than last year,,5,
57258,I am a student who is learning to code,Yes,,20,,,,Pakistan,,,Microsoft SQL Server;MongoDB;MySQL;Oracle,Microsoft SQL Server;MongoDB;MySQL;Oracle,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,East Asian,Woman,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,,I am actively looking for a job,HTML/CSS;JavaScript;Python,C;C#;HTML/CSS;Java;JavaScript;Python;R,Pandas,.NET;Pandas;TensorFlow,Github;Stack Overflow for Teams,Github,,,,,,Every few months,,,No,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me,"Hello, old friend",I have never visited any of these sites,Play games;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,,Android;Windows,Android;Windows,,,,,,,Neither easy nor difficult,Too short,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;ASP.NET,Angular;Angular.js;ASP.NET,,,21,
57268,I am a developer by profession,Yes,25.0,15,,,,Pakistan,,,,MySQL,Database administrator;Designer,Some college/university study without earning a degree,"Not employed, but looking for work",East Asian,Woman;Man,"Languages, frameworks, and other technologies I’d be working with;Family friendliness",,I am actively looking for a job,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL,,,,Github;Gitlab;Stack Overflow for Teams,,,Critically important,Wanting to share accomplishments with a wider network;Better work/life balance,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",Every few months,,,Yes,,,Amused,Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations),Visit Stack Overflow;Watch help / tutorial videos;Visit another developer community (please name):,Windows,,,Windows;WordPress,,,,,,,Neither easy nor difficult,Too long,,Web development or web design,,jQuery,,,7,
57359,I am a student who is learning to code,Yes,,18,,,,Pakistan,,,Firebase;MongoDB;MySQL;SQLite,MongoDB,"Developer, back-end;Developer, front-end;Developer, full-stack;DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",,,Remote work options;Financial performance or funding status of the company or organization;Opportunities for professional development,,I am actively looking for a job,JavaScript,JavaScript,Node.js;TensorFlow,Node.js,Jira;Github,Github;Slack,,,,,,Once a decade,No,,Yes,,Start a free trial,Indifferent,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Linux-based,,Docker;Google Cloud Platform;Kubernetes;Linux;Windows,Docker;Google Cloud Platform;Kubernetes;Linux;Windows,,,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,A few times per week,Easy,Appropriate in length,,"Computer science, computer engineering, or software engineering",React.js,React.js,,,4,
57456,I am a developer by profession,Yes,29.0,18,Monthly,150000.0,11676.0,Pakistan,Pakistani rupee,PKR,Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite,Microsoft SQL Server;MySQL;Oracle;PostgreSQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Middle Eastern;South Asian,Man,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",C#;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript;VBA,.NET;.NET Core;Node.js;React Native;TensorFlow;Unity 3D;Xamarin,.NET;.NET Core;Node.js;React Native;Unity 3D;Xamarin,Github;Microsoft Azure,Jira;Github;Microsoft Teams;Microsoft Azure;Trello,Yes,Neutral,Fairly important,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,Not sure,No,Yes,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,20 to 99 employees,Android;AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Microsoft Azure;Windows,Android;Microsoft Azure;Windows;WordPress,I have some influence,Straight / Heterosexual,Yes,"No, not at all",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;ASP.NET Core;Flask;React.js;Vue.js,Angular;Angular.js;ASP.NET;ASP.NET Core;jQuery;React.js,Just as welcome now as I felt last year,47.0,13,9
57518,I am a developer by profession,Yes,22.0,15,,,,Pakistan,Pakistani rupee,PKR,Cassandra;Firebase;MongoDB;MySQL;SQLite,Firebase;MongoDB,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",Some college/university study without earning a degree,Employed full-time,South Asian,Man,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",Dart;HTML/CSS;Java;JavaScript;Python;Swift;TypeScript,HTML/CSS;JavaScript;TypeScript,Flutter;Node.js;React Native;TensorFlow,Node.js;React Native,Github;Gitlab;Slack;Trello,Github;Gitlab;Slack;Trello,No,Not very important,Somewhat important,Just because;Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once every few years,Yes,Yes,Yes,Never,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Linux-based,10 to 19 employees,Android;AWS;Docker;Google Cloud Platform;Heroku;iOS;MacOS;Slack Apps and Integrations;Windows,Android;AWS;Heroku,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per week,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;React.js,jQuery;React.js,Somewhat more welcome now than last year,35.0,6,2
57528,I am a student who is learning to code,No,20.0,17,,,,Pakistan,,,,MySQL;Oracle,,Some college/university study without earning a degree,Student,South Asian,Woman,Industry that I’d be working in;Diversity of the company or organization;Flex time or a flexible schedule,,"I’m not actively looking, but I am open to new opportunities",C++;HTML/CSS;Java;Python;SQL,Assembly;C;C++;HTML/CSS;Java;PHP;Python;R;SQL,Pandas,Pandas,,Stack Overflow for Teams,,,,,,Every few months,No,,Yes,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Play games;Call a coworker or friend;Visit Stack Overflow,Linux-based,,Linux;Windows;WordPress,Linux;Windows;WordPress,,Straight / Heterosexual,Yes,Not sure,Less than once per month or monthly,Less than once per month or monthly,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",,,Somewhat more welcome now than last year,,3,
57538,I am a student who is learning to code,Yes,22.0,18,,,,Pakistan,,,MongoDB;Oracle;PostgreSQL,Firebase;Microsoft SQL Server;MySQL;SQLite,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",South Asian,Woman,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,,I am actively looking for a job,JavaScript;Kotlin;Objective-C;Scala;Swift;TypeScript,C#;HTML/CSS;Java;PHP;Python;SQL,Flutter;Hadoop;Pandas;React Native;TensorFlow;Xamarin,.NET,Jira;Microsoft Azure;Stack Overflow for Teams,Github,,,,,,Once a year,Not sure,,No,,Start a free trial;Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Visit Stack Overflow;Watch help / tutorial videos,Windows,,AWS;Docker;Kubernetes;Microsoft Azure,Android;Windows;WordPress,,Straight / Heterosexual,Not sure/can't remember,"No, not really",,A few times per month or weekly,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;Laravel;React.js;Symfony;Vue.js,ASP.NET,Not applicable - I did not use Stack Overflow last year,,4,
57611,I am a student who is learning to code,Yes,19.0,14,,,,Pakistan,,,Microsoft SQL Server;MongoDB;Oracle;SQLite,Microsoft SQL Server,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,South Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",,I am not interested in new job opportunities,C#;C++;Go;HTML/CSS;JavaScript;Python,Python,Pandas;TensorFlow;Unity 3D,.NET,Github;Stack Overflow for Teams,,,,,,,Once a year,Not sure,,No,,Start a free trial;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,,Android;Google Cloud Platform;Linux,,,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,A few times per week,Easy,Appropriate in length,No,,Angular.js;Django,,Not applicable - I did not use Stack Overflow last year,,5,
57615,I am a developer by profession,No,24.0,17,Monthly,80000.0,6228.0,Pakistan,Pakistani rupee,PKR,,Microsoft SQL Server;MongoDB;Redis,"Database administrator;Developer, back-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,Flex time or a flexible schedule;Remote work options;Financial performance or funding status of the company or organization,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",,Assembly;C;C#;C++;HTML/CSS;JavaScript;TypeScript,Node.js;React Native,.NET;.NET Core,,Github;Microsoft Azure,Yes,Somewhat important,Not at all important/not necessary,Having a bad day (or week or month) at work;Better compensation;Better work/life balance;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family",Every few months,Yes,No,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity,Windows,20 to 99 employees,,,I have some influence,,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",React.js,Angular;ASP.NET;ASP.NET Core;jQuery,A lot less welcome now than last year,40.0,8,3
57658,I am a developer by profession,Yes,23.0,8,Yearly,12000.0,12000.0,Pakistan,United States dollar,USD,DynamoDB;Firebase;MongoDB;PostgreSQL,DynamoDB;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL,"Academic researcher;Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile;DevOps specialist;Scientist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,South Asian,Man,Industry that I’d be working in;How widely used or impactful my work output would be;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Go;Java;JavaScript;TypeScript,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Apache Spark;Hadoop;React Native;Unity 3D;Unreal Engine,Cordova;Node.js;Unity 3D;Unreal Engine,"Jira;Github;Google Suite (Docs, Meet, etc)","Jira;Github;Google Suite (Docs, Meet, etc)",No,Somewhat important,Very important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Directly asking current or past employees at the company",Every few months,Not sure,Yes,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,10 to 19 employees,Android;AWS;Google Cloud Platform;iOS;Kubernetes,AWS;Google Cloud Platform;Kubernetes,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per month or weekly,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Django;React.js;Spring;Symfony,Angular;Angular.js;Laravel;Spring,Not applicable - I did not use Stack Overflow last year,,8,5
57735,I am a developer by profession,Yes,,15,Monthly,300.0,3600.0,Pakistan,United States dollar,USD,Firebase;Microsoft SQL Server;MongoDB,Firebase;Microsoft SQL Server;MongoDB,"Developer, back-end;Developer, front-end;Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,East Asian,Man,Industry that I’d be working in;Opportunities for professional development,Very dissatisfied,I am actively looking for a job,C#;HTML/CSS;JavaScript;TypeScript,C;C#;HTML/CSS;JavaScript;SQL;TypeScript,.NET Core;Flutter;Node.js,.NET Core,"Github;Gitlab;Facebook Workplace;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Github;Trello,Yes,Extremely important,,Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",Every few months,Yes,Yes,Yes,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers);Stack Overflow Talent (for hiring companies/recruiters),Play games;Visit Stack Overflow;Go for a walk or other physical activity,Windows,100 to 499 employees,AWS;Google Cloud Platform;IBM Cloud or Watson;Microsoft Azure,Google Cloud Platform;Heroku;Windows,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, definitely",I have never participated in Q&A on Stack Overflow,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;ASP.NET Core;React.js;Ruby on Rails;Vue.js,Angular;ASP.NET Core;React.js;Vue.js,A lot more welcome now than last year,40.0,9,3
57738,I am a student who is learning to code,Yes,,15,,,,Pakistan,,,MongoDB;PostgreSQL,Microsoft SQL Server;MySQL;Oracle,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Student,,,Opportunities for professional development,,I am actively looking for a job,C#,Assembly;C;C++;HTML/CSS;JavaScript;PHP;Python;SQL,.NET;.NET Core;Hadoop;TensorFlow;Torch/PyTorch,Pandas,"Github;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",,,,,,,Every few months,,,No,,Start a free trial,"Hello, old friend",I have never visited any of these sites,Visit Stack Overflow;Watch help / tutorial videos;Visit another developer community (please name):,Windows,,,Windows,,,,,,,Easy,Too long,No,,Angular;Angular.js;ASP.NET;ASP.NET Core;Django,jQuery;Laravel,,,5,
57784,I am a student who is learning to code,Yes,23.0,22,,,,Pakistan,,,,Microsoft SQL Server,"Developer, back-end;Developer, front-end;Developer, QA or test","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,Man,Specific department or team I’d be working on;Financial performance or funding status of the company or organization;Opportunities for professional development,,I am actively looking for a job,,C#;HTML/CSS;Java;JavaScript;SQL,.NET;.NET Core;Node.js,.NET,Jira,,,,,,,Every few months,,,No,,Start a free trial;Ask developers I know/work with,Amused,Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Watch help / tutorial videos,Windows,,WordPress,,,,,,,,Easy,Too long,No,"Information systems, information technology, or system administration",ASP.NET;ASP.NET Core,Angular,,,1,
